id,kind,file,t_start,t_end,u_pct,T_lo,T_hi,use,quality,note
pp-20260716-111148,jump,cd10_20260715_prepython.csv,2026-07-16T11:11:48.015,2026-07-16T12:40:40.014,25.0,204.99,228.7,excluded,over-extrapolated,
pp-20260716-124044,jump,cd10_20260715_prepython.csv,2026-07-16T12:40:44.000,2026-07-16T14:18:56.010,30.0,223.07,238.23,excluded,over-extrapolated,
pp-20260716-141900,jump,cd10_20260715_prepython.csv,2026-07-16T14:19:00.015,2026-07-16T14:47:36.010,33.0,231.45,240.97,tau,tau,
pp-20260716-144752,jump,cd10_20260715_prepython.csv,2026-07-16T14:47:52.001,2026-07-16T15:11:24.010,35.0,240.98,247.48,tau,tau,
pp-20260716-151128,jump,cd10_20260715_prepython.csv,2026-07-16T15:11:28.003,2026-07-16T16:28:52.001,38.0,247.2,258.78,excluded,over-extrapolated,
pp-20260716-162856,jump,cd10_20260715_prepython.csv,2026-07-16T16:28:56.003,2026-07-16T18:53:32.014,40.0,250.33,261.86,excluded,over-extrapolated,
pp-20260716-185336,hold,cd10_20260715_prepython.csv,2026-07-16T18:53:36.011,2026-07-17T12:47:24.002,43.0,18.124,263.29,excluded,over-extrapolated,"Not a dwell: 17.9 h of the original cooldown at a fixed 43%, 263 K down to 18 K. The pole fit extrapolates to -190 K, which is what over-extrapolated is for. Kept as a row rather than dropped so that the accounting is complete and a grader change here shows as a verdict flip rather than as a new line."
pp-20260717-124728,jump,cd10_20260715_prepython.csv,2026-07-17T12:47:28.005,2026-07-17T12:48:32.016,48.0,18.408,22.4,steady,steady,
pp-20260717-124836,jump,cd10_20260715_prepython.csv,2026-07-17T12:48:36.012,2026-07-17T12:49:40.010,52.0,22.404,27.153,steady,steady,
pp-20260717-125304,jump,cd10_20260715_prepython.csv,2026-07-17T12:53:04.006,2026-07-17T12:55:44.002,65.0,80.732,90.806,excluded,over-extrapolated,
pp-20260717-125548,jump,cd10_20260715_prepython.csv,2026-07-17T12:55:48.004,2026-07-17T12:58:52.010,64.0,91.004,93.177,excluded,over-extrapolated,
pp-20260717-125856,jump,cd10_20260715_prepython.csv,2026-07-17T12:58:56.013,2026-07-17T13:08:28.011,63.5,92.572,93.882,excluded,over-extrapolated,
pp-20260717-130832,jump,cd10_20260715_prepython.csv,2026-07-17T13:08:32.013,2026-07-17T13:10:28.015,63.0,92.885,93.891,excluded,unsettled,
pp-20260717-131032,jump,cd10_20260715_prepython.csv,2026-07-17T13:10:32.015,2026-07-17T13:19:28.001,63.2,92.792,93.768,excluded,over-extrapolated,
pp-20260717-131932,jump,cd10_20260715_prepython.csv,2026-07-17T13:19:32.009,2026-07-17T15:38:24.016,63.1,93.699,94.909,excluded,over-extrapolated,
pp-20260717-153828,jump,cd10_20260715_prepython.csv,2026-07-17T15:38:28.008,2026-07-17T15:42:04.010,63.05,94.682,94.903,excluded,unsettled,
pp-20260717-154208,hold,cd10_20260715_prepython.csv,2026-07-17T15:42:08.005,2026-07-20T17:02:59.014,63.0757,94.655,97.275,excluded,over-extrapolated,
pp-20260723-102648,jump,cd10_20260715_prepython.csv,2026-07-23T10:26:48.000,2026-07-23T11:07:03.999,63.072,98.476,98.844,steady,steady,
pp-20260723-112526,hold,cd10_20260715_prepython.csv,2026-07-23T11:25:26.000,2026-07-25T20:09:41.994,63.072,98.203,99.364,steady,steady,
pp-20260725-201607,hold,cd10_20260715_prepython.csv,2026-07-25T20:16:07.000,2026-07-31T20:42:39.003,63.072,99.006,99.78,steady,steady,
pp-20260808-155602,jump,cd10_20260715_prepython.csv,2026-08-08T15:56:02.000,2026-08-08T16:10:02.008,63.072,99.577,99.658,excluded,unresolved,"excluded by the plant clock at a margin of 1.6 in tau, not the three orders of magnitude the other ceiling pins enjoy: 840 s against MIN_REACH x 445.9 s, so tau(99.42 K) would have to be 37 % low to keep it. Checked at 99 K rather than assumed - the bracketing tau anchors interpolate to 445.9 s against the shipped table's 436.4 s, 2.2 % apart. AUDIT-2026-09-10-REJOINDER.md step 2; the one verdict of these to read rather than wave through."
pp-20260808-161012,jump,cd10_20260715_prepython.csv,2026-08-08T16:10:12.005,2026-08-08T16:17:32.005,63.3,99.617,101.43,excluded,unsettled,
